"index","expert_label","video_url","video_title","video_description","video_duration","fragment"
"0","basketball","https://www.youtube.com/watch?v=m3I07Uikd28","Battle of the Birds 2010","Washington vr Lowell Pollard from Lowell Bombing a three Byron tipping in a missed layup Ugo bombing another threy ball","132.0","0"
"1","soccer","https://www.youtube.com/watch?v=csIVtJ8bd2c","MVI 1159","Abby playing soccer","197.0","1"
"2","birthday","https://www.youtube.com/watch?v=6wvgR36G0c8","P2185240.AVI","birthday","56.0","1"
"3","birthday","https://www.youtube.com/watch?v=6wvgR36G0c8","P2185240.AVI","birthday","56.0","0"
"4","birthday","https://www.youtube.com/watch?v=G0Eg3FzwhDY","MVI_3025.AVI","Colombia 1/24/2010 Tio Aaron&#39;s birthday Happy Birthday","78.0","1"
"5","birthday","https://www.youtube.com/watch?v=G0Eg3FzwhDY","MVI_3025.AVI","Colombia 1/24/2010 Tio Aaron&#39;s birthday Happy Birthday","78.0","0"
"6","birthday","https://www.youtube.com/watch?v=G0Eg3FzwhDY","MVI_3025.AVI","Colombia 1/24/2010 Tio Aaron&#39;s birthday Happy Birthday","78.0","2"
"7","birthday","https://www.youtube.com/watch?v=E7KbcvEzKR8","Singing Happy Birthday to Jack Knott","","28.0","0"
"8","birthday","https://www.youtube.com/watch?v=RCG4ZIRSAkw","Birthday, 2006","My friends gather at our apartment in Okayama, and celebrate my 25th birthday.","56.0","1"
"9","birthday","https://www.youtube.com/watch?v=RCG4ZIRSAkw","Birthday, 2006","My friends gather at our apartment in Okayama, and celebrate my 25th birthday.","56.0","0"
"10","birthday","https://www.youtube.com/watch?v=RkrV0oLbCws","Margaret&#39;s 98th","Linda, Margaret, Jimmy, Bess, Norman, Jimmy B round the table for Margaret&#39;s 98th birthday lunch.","30.0","0"
"11","birthday","https://www.youtube.com/watch?v=MCZffkY_2rM","Happy birthday TubaDad (featuring the coolest birthday candle ever)","We got it at http://www.theamazingcandle.com (we ordered 3)","134.0","0"
"12","parade","https://www.youtube.com/watch?v=6vuP-tiZ4Ow","Parade Disney 1","","26.0","0"
"13","parade","https://www.youtube.com/watch?v=gG9F6XRi3xE","kc halloween parade","halloween parade","265.0","0"
"14","parade","https://www.youtube.com/watch?v=gG9F6XRi3xE","kc halloween parade","halloween parade","265.0","3"
"15","parade","https://www.youtube.com/watch?v=gG9F6XRi3xE","kc halloween parade","halloween parade","265.0","6"
"16","parade","https://www.youtube.com/watch?v=a1J_2CLRlBM","Balloon parade I","","140.0","0"
"17","parade","https://www.youtube.com/watch?v=a1J_2CLRlBM","Balloon parade I","","140.0","2"
"18","parade","https://www.youtube.com/watch?v=a1J_2CLRlBM","Balloon parade I","","140.0","4"
"19","parade","https://www.youtube.com/watch?v=gJac19TovSs","Nick blowing kisses in the parade - 12/5/09 II","","20.0","0"
"20","parade","https://www.youtube.com/watch?v=dQaKskO0dYM","parade 2010_1506.avi","","30.0","0"
"21","parade","https://www.youtube.com/watch?v=C-A7KcqS9xs","Sergio Munoz Jr. Citrus Parade","Spectator view of Sergio Munoz Jr. in Mission Citrus Parade.","85.0","1"
"22","parade","https://www.youtube.com/watch?v=C-A7KcqS9xs","Sergio Munoz Jr. Citrus Parade","Spectator view of Sergio Munoz Jr. in Mission Citrus Parade.","85.0","0"
"23","parade","https://www.youtube.com/watch?v=C-A7KcqS9xs","Sergio Munoz Jr. Citrus Parade","Spectator view of Sergio Munoz Jr. in Mission Citrus Parade.","85.0","2"
"24","graduation","https://www.youtube.com/watch?v=9msQJ6JI4Z0","Fiona&#39;s Dig for Kids Graduation 11/04/09","","46.0","1"
"25","graduation","https://www.youtube.com/watch?v=9msQJ6JI4Z0","Fiona&#39;s Dig for Kids Graduation 11/04/09","","46.0","0"
"26","graduation","https://www.youtube.com/watch?v=CA2E-nFKROk","Harshal Drexel Graduation - 8","Harshal Drexel Graduation - 8","25.0","0"
"27","graduation","https://www.youtube.com/watch?v=DhEguSZ0q7k","MVI_4511.AVI","High Tech &#39;06 Graduation Speech","354.0","0"
"28","graduation","https://www.youtube.com/watch?v=DhEguSZ0q7k","MVI_4511.AVI","High Tech &#39;06 Graduation Speech","354.0","4"
"29","graduation","https://www.youtube.com/watch?v=DhEguSZ0q7k","MVI_4511.AVI","High Tech &#39;06 Graduation Speech","354.0","8"
"30","graduation","https://www.youtube.com/watch?v=hpgJXfycRk8","MVI 1642","Penn&#39;s brother celebrating graduation like Garnett","81.0","1"
"31","graduation","https://www.youtube.com/watch?v=hpgJXfycRk8","MVI 1642","Penn&#39;s brother celebrating graduation like Garnett","81.0","0"
"0","basketball","https://www.youtube.com/watch?v=m3I07Uikd28","Battle of the Birds 2010","Washington vr Lowell Pollard from Lowell Bombing a three Byron tipping in a missed layup Ugo bombing another threy ball","132.0","2"
"1","soccer","https://www.youtube.com/watch?v=csIVtJ8bd2c","MVI 1159","Abby playing soccer","197.0","3"
"2","birthday","https://www.youtube.com/watch?v=MCZffkY_2rM","Happy birthday TubaDad (featuring the coolest birthday candle ever)","We got it at http://www.theamazingcandle.com (we ordered 3)","134.0","2"
"3","birthday","https://www.youtube.com/watch?v=MCZffkY_2rM","Happy birthday TubaDad (featuring the coolest birthday candle ever)","We got it at http://www.theamazingcandle.com (we ordered 3)","134.0","4"
"4","birthday","https://www.youtube.com/watch?v=V25tfG6UVC8","Evelyn&#39;s Birthday","Eve&#39;s 11th Birthday! February 4,2010","66.0","1"
"5","birthday","https://www.youtube.com/watch?v=V25tfG6UVC8","Evelyn&#39;s Birthday","Eve&#39;s 11th Birthday! February 4,2010","66.0","0"
"6","birthday","https://www.youtube.com/watch?v=P9uS_vH4MGU","Happy Birthday Aunt Liz!","","66.0","1"
"7","birthday","https://www.youtube.com/watch?v=P9uS_vH4MGU","Happy Birthday Aunt Liz!","","66.0","0"
"8","birthday","https://www.youtube.com/watch?v=I5gX9ek2mgc","Dec 3: Epic Birthday Suprise and Sneaky Girls","Happy Birthday Suprise Taylor!!!!!","55.0","1"
