id,label
1,1
2,10 pin bowling
3,100 birthday
4,11
5,1st
6,1st birthday
7,2 babies eating cake
8,2 dogs on table
9,2 kids at table singing happy birthday
10,2 little girls dancing
11,2 little girls singing
12,2 women standing in front of group of people
13,2 years old
14,20
15,2009
16,2015
17,24 years old
18,29
19,3
20,3 candles
21,3 years old
22,31
23,3rd birthday
24,4 kids waiting
25,4 vs 4
26,4 vs 4 but the red child does count
27,4th july
28,4th of july
29,5
30,5 a side
31,6
32,610 stompers
33,7 drawfs
34,7 drawfs dancing
35,8
36,835260
37,8th birthday
38,??
39,NO_EVENT
40,[arade
41,`birthday party
42,a baby
43,a basketball game in progress
44,a basketball team of children are having a party and the referee whistles for a foul and explains that
45,a birthday party
46,a birthday picnic in a park
47,a blonde toddler sitting on the floor of a nursery getting a gift
48,a boy opens gifts
49,a bunch of kids
50,a car decorated
51,a car drives by stationery cars
52,a car drives by stationery cars.
53,a caravan with the 7 dwarfs snow white quite crowd
54,a christmas parade with a float and parade participants walking behind it
55,a christmas parade with floats and parade participants doing a dance to ice ice baby
56,a convention waiters waitresses preparing
57,a convention waiters/waitresses preparing
58,a crowd screaming as cars are parading down the middle
59,a dignitary making a speech at graduation
60,a family celebrating the birthday of the lady and she eats cherry
61,a father and two sons making a video
62,a fire truck in a parade with musicians
63,a float being pulled by a red truck down the parade path
64,a float leads a parade
65,a girl
66,a girl unwrapping large present dad helps
67,a graduate comes forward
68,a graduation ceremony with a school dignitary making an announcement to the audience
69,a group of 6 girls greeting a happy birthday to their friend mel
70,a group of girls greeting their friend mel a happy 21st birthday
71,a group of young toddlers performing a song and dance routine at their graduation
72,a helicopter flies by
73,a holiday parade
74,a kit car drives down the street
75,a lady makes a speech about a man
76,a large dining area
77,a little blonde boy celebrating his second birthday
78,a little girl excited about opening her present
79,a little girl in a pink dress doing a somersault on her blanket
80,a little girl sits looking bewildered during happy birthday
81,a man gets a surprise birthday welcome
82,a march of some sort
83,a marching band and drill team marching in a parade
84,a marching band in a parade
85,a marching band parade along a street
86,a marching band parade.
87,a marching band parades
88,a mascot playing and dancing with small girls
89,a military parade
90,a mother and two sons making a video
91,a new year parade in la
92,a nighttime electrical parade
93,a parade down a wet street
94,a parade from where the seven dwarfs of snow white
95,a pirate looks into the camera
96,a presentation is made
97,a red truck pulling a float with parade participants on it
98,a referree signaling a jump ball
99,a school dignitary announcing names at a graduation
100,a school dignitary announcing the names of graduates as they walk across the stage to receive their diplomas and are congratulated
101,a school dignitary making a speech as graduating students enter the venue
102,a school official introducing one of the speakers at a graduation
103,a second lady translates to english
104,a second woman translates
105,a soldier congratulating a person
106,a soldier saying congratulations to someone via video
107,a speech
108,a stage with a podium and banner
109,a street parade passes
110,a student receiving his diploma and shaking the hands of school dignitaries
111,a team parade down the street
112,a team wave flags
113,a toddler in red pajamas opening a present
114,a toddler sitting on the floor of the nursery filled with stuffed animals and a crib
115,a topless lady sits in a truck
116,a truck attempts to pass
117,a very colourful parade takes place
118,a woman makes a speech at grad
119,a woman playing a guitar and singing with young students
120,a woman playing guitar and singing happy birthday with children
121,a woman singing happy birthday with young students
122,a young boy trying to blow out candles on his birthday cupcake
123,a young man getting his diploma at graduation
124,abraham
125,abusive video title
126,acceptance
127,accepting diploma
128,accepting rewards
129,achievement
130,achievement ceremony
131,acknowledgement
132,acrobatics
133,act
134,actions
135,active
136,activity
137,adorable
138,adult business shool graduation
139,adult graduation
140,adult helping from the side
141,adult helping him from the side
142,adult helping out a little bit
143,adult laughing
144,adult pouring drinks
145,adult video taping
146,adult with camera taking pictures
147,adults
148,adults emotions
149,adults emotions and laughing
150,adults encouraging children
151,adults instructing children
152,adults play basketball
153,adults sitting on picnic table
154,adults watching
155,advertising
156,aerial acrobatics
157,aeropostale
158,aetna
159,african
160,african american
161,african beach
162,african children
163,african people attending ceremony and singing
164,africans attending a ceremony and singing
165,afro
166,after graduation
167,after graduation throwing hats
168,air plane
169,airplane flying overhead
170,aisle
171,ake
172,aladdin
173,aladdin on float
174,aladdin theme
175,aladin
176,alarm
177,alcohol
178,alcove
179,alex
180,alice in wondereland
181,alice in wonderland
182,alignment
183,alit
184,aloft
185,alphabet
186,altar
187,alumni
188,alumnos
189,amateur basketball game
190,amateur soccer game indoors
191,amateur soccer match
192,ambluances
193,ambulance
194,america
195,american
196,american flag
197,american flags
198,amusement float
199,amusement park
200,amusement park parade
201,amusment park
202,an asian family or friends celebrating at a reception
203,an asian man is getting a title
204,an unknown assembly of young people - perhaps a musical
205,ancient clothing
206,and laughing
207,angry woman gets a gift
208,animal costumes
209,animal sat down
210,animals
211,animated
212,animation
213,anniston
214,anniversary
215,announcement
216,announcement stage
217,announcing names
218,annoying
219,annoying family sing happy birthday to papa
220,annoying man talks to camera
221,annoying noises
222,annual
223,another follows
224,anthem
225,ape
226,aplause
227,appause
228,applauding
229,applause
230,apple
231,appliance
232,arcade
233,arena
234,arm
235,arm feet ground shirt
236,arm waving
237,armchair
238,armored car
239,armoured
240,army
241,army drills being watched by community
242,army guy
243,army parade
244,army truck
245,art
246,art class
247,art project
248,artwork
249,asia
250,asian
251,asian conversation
252,asian dancers
253,asian festival
254,asian kid w puppet
255,asian ppl waving hands
256,asian rides dinner birthday party children
257,asians celebrating a birthday
258,asiaticos
