|0|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0
kids singing at a graduation ceremony|0|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0
`birthday party|0|6|0|0|0|0|0|10|0|0|0|6|0|0|0|0
skunk float parade crowd tree sky|0|14|0|0|0|0|0|0|0|0|1|0|0|0|0|1
motorbike street parade|0|5|0|0|0|0|0|0|0|15|0|0|0|0|0|0
yellow|0|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0
four|0|18|0|0|0|0|0|2|0|0|0|1|0|0|0|0
police take part in a ceremony|0|18|0|0|0|0|0|0|1|1|0|0|0|0|0|0
trash can|0|14|1|0|0|0|0|0|0|0|0|0|0|0|0|0
ornate|0|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0
balloon string tree sky bush parade|0|12|0|0|0|0|0|3|0|0|0|0|0|0|0|0
woman opening a rectangular container|0|12|1|0|0|0|0|1|0|0|0|1|0|1|0|0
marching|0|13|0|0|0|0|0|0|0|0|0|0|0|0|0|2
waving chilean flag|0|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0
babies birthday party|0|9|0|0|0|0|0|6|0|0|0|5|0|0|0|0
children playing sport|12|4|0|9|15|12|0|0|0|0|0|0|0|1|0|0
dog toy|0|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0
wake up|0|14|0|0|0|0|0|0|0|0|0|0|0|1|0|0
playing in the gym|5|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0
young kids singing in a setting|0|14|0|0|0|0|0|1|0|0|0|0|0|0|0|0
pipe band street parade|0|18|0|0|0|0|0|0|0|0|0|0|0|0|2|1
toddler holding hands with adult|2|17|0|1|2|1|0|1|0|0|1|0|0|1|1|0
people sing drunkenly in a room|0|14|0|0|0|0|0|1|0|0|0|0|0|0|0|0
baby makes a mess eating spaghetti|0|16|2|0|0|0|0|0|0|0|0|0|1|1|0|0
people watching floats|0|14|0|0|0|0|0|0|0|0|1|0|0|0|0|0
girl smiling|0|14|0|0|0|0|0|1|0|0|0|0|0|0|0|0
people talking in background|3|14|2|4|3|4|0|1|0|0|2|1|1|2|1|1
musical instraments|0|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0
chocolate cake|0|12|3|0|0|0|0|4|1|0|0|4|2|0|0|0
screaming|3|10|0|0|3|0|0|0|3|0|0|0|0|0|0|0
walking across stage|0|13|1|0|0|0|0|0|0|0|1|0|0|0|0|0
aladdin on float|0|18|0|0|0|0|0|1|0|0|1|0|0|0|0|0
protest|0|19|0|0|1|0|0|0|0|0|0|0|0|0|0|0
spectators cheering|15|6|0|11|14|10|0|0|1|0|0|0|0|0|0|0
one guy falls|3|12|0|6|2|2|0|0|1|0|0|0|0|2|0|0
tired|0|18|0|0|1|0|0|0|0|0|0|0|0|1|0|0
railing|1|16|0|0|0|0|0|0|0|0|0|0|0|3|0|0
adults watching|7|12|1|4|7|5|0|0|0|0|0|0|0|0|0|0
gym graduation ceremony|0|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0
woman making peace sign with two fingers|0|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0
kids cap gown curtain boy girl door|0|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0
cooking|0|6|13|0|0|0|0|0|0|0|0|0|9|0|0|0
fingers|0|18|1|0|0|0|0|0|0|0|0|0|0|1|0|0
burst balloon|0|3|0|0|0|0|0|18|0|0|0|1|0|0|0|0
people graduating shown on a big screen|0|14|4|0|0|0|1|0|1|0|0|0|0|0|0|0
crouch|0|13|0|2|0|0|0|0|0|0|0|0|0|0|0|0
singing in the garden|0|19|0|0|0|0|0|0|0|0|0|0|0|0|1|0
reporter|2|14|0|1|2|1|1|0|0|0|0|0|0|0|0|0
avery|0|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0
people watching and taking pictures|1|12|0|0|1|0|0|1|1|0|1|1|0|1|0|0
speaker calling graduates|0|17|3|0|0|0|0|0|0|0|0|0|0|0|0|0
china|0|18|2|0|0|0|0|0|0|0|0|0|1|0|0|0
dorm|0|14|0|0|0|0|0|0|0|0|0|0|0|1|0|0
person eating|0|16|3|0|0|0|0|0|1|0|0|0|3|1|0|0
kids|1|14|0|0|1|0|0|0|0|0|0|0|0|0|0|0
military|0|15|0|0|0|0|2|0|0|0|0|1|0|0|0|3
